baitID	Cov1	Cov2	Cov3	Cov4	Cov_weighted	Cov_pooled	Cov1_allSigInteractions	Cov2_allSigInteractions	Cov3_allSigInteractions	Cov4_allSigInteractions	Cov_weighted_allSigInteractions	Cov_pooled_allSigInteractions	Cov1_perSigInteraction	Cov2_perSigInteraction	Cov3_perSigInteraction	Cov4_perSigInteraction	Cov_weighted_perSigInteraction	Cov_pooled_perSigInteraction	Number_interactions	Number_B2B_interactions	Number_signif_interactions	Number_signif_B2B_interactions	Number_signif_interactions_onSameChr	Number_signif_interactions_onSameChr_byBothReps	Number_signif_interactions_byBothReps	Number_signif_B2B_interactions_byBothReps	Distance_signif_mean	Distance_signif_median	Distance_signif_min	Distance_signif_max	Distance_signif_mean_B2B	Distance_signif_median_B2B	Distance_signif_min_B2B	Distance_signif_max_B2B	GCplusCpG_percent_promFrag	CpG_percent_promFrag	genename
4011695	1796	1979	1623	1397	2319	6795	644	851	726	600	722	6795	8.82191780821918	11.6575342465753	9.94520547945205	8.21917808219178	9.89041095890411	38.6438356164384	1100	11	73	0	44	42	71	0	33708072.4772727	28489194.5	110120	93690838	NA	NA	NA	NA	12.93	6.24	Klf4
5546150	2795	2560	1986	1819	3174	9160	1600	1518	1040	907	1321	9160	14.8148148148148	14.0555555555556	9.62962962962963	8.39814814814815	12.2314814814815	46.8981481481481	1399	13	108	0	60	60	107	0	23376502.35	13146996.5	36136	66775249	NA	NA	NA	NA	10.63	3.62	Klf2
3570493	1896	1934	1763	1225	2308	6818	1068	1202	988	644	1017	6818	12.4186046511628	13.9767441860465	11.4883720930233	7.48837209302326	11.8255813953488	45.3720930232558	947	13	86	0	61	60	84	0	21297424.9344262	5772724	73157	122959312	NA	NA	NA	NA	15.67	6.06	Sox2
1295638	4540	5580	3367	2815	5425	16302	2516	2977	1920	1798	2405	16302	16.4444444444444	19.4575163398693	12.5490196078431	11.7516339869281	15.718954248366	60.202614379085	1935	13	153	0	94	90	148	0	22857362.5319149	17504716.5	97797	82261948	NA	NA	NA	NA	11.29	4.09	Esrrb.2
4937588	1696	1682	1168	1905	2619	6451	731	713	562	749	693	6451	9.25316455696202	9.0253164556962	7.11392405063291	9.48101265822785	8.77215189873418	34.873417721519	1603	12	79	0	60	59	76	0	22482753.5833333	8092693	29816	115823876	NA	NA	NA	NA	7.47	1.44	Nanog
4936626	2352	2348	1715	1620	2879	8035	1289	1237	849	1014	1131	8035	10.8319327731092	10.3949579831933	7.13445378151261	8.52100840336134	9.50420168067227	36.8823529411765	1403	13	119	0	75	73	116	0	22256250.3733333	13524677	35333	118862518	NA	NA	NA	NA	22.97	11	Phc1
3455449	2034	2692	2618	1601	2916	8945	1148	1366	1468	803	1222	8945	9.89655172413793	11.7758620689655	12.6551724137931	6.92241379310345	10.5344827586207	41.25	1193	13	116	0	75	74	115	0	26519452.5866667	11285356	107036	154047834	NA	NA	NA	NA	14.89	6.51	Sall4
1038483	2104	1955	1906	1793	2572	7758	912	914	911	809	890	7758	11.2592592592593	11.283950617284	11.2469135802469	9.98765432098766	10.9876543209877	43.7777777777778	1117	13	81	0	28	28	79	0	13902692.8214286	13691565	53555	71302448	NA	NA	NA	NA	14.23	6.43	Stat3
1984935	2224	1723	1764	1735	2650	7446	930	707	577	751	750	7446	11.625	8.8375	7.2125	9.3875	9.375	37.0625	1380	11	80	0	43	43	79	0	25908753.1162791	16960225	122854	96331294	NA	NA	NA	NA	23.71	10.19	Lifr
292283	1394	1350	1179	895	1796	4818	664	602	514	320	546	4818	9.6231884057971	8.72463768115942	7.44927536231884	4.63768115942029	7.91304347826087	30.4347826086957	1023	12	69	0	54	53	68	0	18598656.1851852	11833328	113601	76395118	NA	NA	NA	NA	9.55	3.12	Tfcp2l1
5876325	1431	1451	1637	959	2596	5478	439	481	369	406	430	5478	7.98181818181818	8.74545454545455	6.70909090909091	7.38181818181818	7.81818181818182	30.8181818181818	1883	13	55	0	28	28	55	0	18134598.8214286	14206791	133211	56505416	NA	NA	NA	NA	9.21	3.32	Dppa5a
2242870	1986	2746	1695	1296	2711	7723	989	1359	1006	710	1059	7723	14.3333333333333	19.695652173913	14.5797101449275	10.2898550724638	15.3478260869565	58.8985507246377	1118	13	69	0	33	33	69	0	16604661.3030303	6361005	107727	86227245	NA	NA	NA	NA	7.95	1.09	Ciita_1
2242890	4089	4274	3753	2521	4759	14637	2189	2085	1903	1479	1957	14637	18.0909090909091	17.2314049586777	15.7272727272727	12.2231404958678	16.1735537190083	63.2727272727273	1641	13	121	0	55	54	120	0	21006948.9454545	10197637	100040	87436010	NA	NA	NA	NA	6.55	1.17	Ciita_2
2242893	4162	5016	2851	2968	4872	14997	2138	2609	1563	1712	2085	14997	18.7543859649123	22.8859649122807	13.7105263157895	15.0175438596491	18.2894736842105	70.3684210526316	1544	13	114	0	55	55	113	0	15445245.8909091	5889036	42571	86972813	NA	NA	NA	NA	11.89	2.44	Ciita_3
