Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSMUSG00000026674	234.34569112699668	5.282348510127037	0.2994264435919689	17.641556459606957	1.181610005088295e-69	1.046020257004413e-65	Ddr2
ENSMUSG00000029468	259.0354643708663	3.8191555486237756	0.22172822124397162	17.22449008609278	1.7395397200573847e-66	1.0266183581205333e-62	P2rx7
ENSMUSG00000078853	1289.7563355065272	2.658411797021963	0.1864807711553424	14.25568856537734	4.132064303883856e-46	1.828954962506592e-42	Igtp
ENSMUSG00000023249	1327.4405398011359	1.7315986595841237	0.13777922771201045	12.567922526054174	3.169431221990817e-36	9.352463297557904e-33	Parp3
ENSMUSG00000069874	918.6329527528208	2.377854799578662	0.1979329177991621	12.01343781528758	3.0202330577624817e-33	7.639032326812106e-30	Irgm2
ENSMUSG00000022587	20293.752143497797	1.7596927138207663	0.15221246485275072	11.56076616670705	6.512511054139852e-31	1.4413001026693261e-27	Ly6e
ENSMUSG00000037321	5321.53402016346	1.5553344538216378	0.15028372646375396	10.349320518058619	4.214663179121856e-25	7.462061158635247e-22	Tap1
ENSMUSG00000085399	111.78000442376654	2.7612651120524703	0.272847063897468	10.120193608131016	4.495255300260363e-24	7.23531773555543e-21	Foxd2os
ENSMUSG00000022504	1583.014343620782	3.8386690056728807	0.4089361701704794	9.386963750534948	6.175476067053797e-21	7.28912025114583e-18	Ciita
ENSMUSG00000044827	647.8741295438481	1.5530820890240167	0.17052364967534436	9.10772254746418	8.41293882130942e-20	9.309442614455205e-17	Tlr1
ENSMUSG00000033066	267.3413594481346	2.154345404589097	0.2497079300931636	8.627460905167617	6.272896764310027e-18	6.170090956228279e-15	Gas7
ENSMUSG00000060586	7320.519091710381	5.123616910924653	0.616097750608184	8.31624024899758	9.079767414938456e-17	6.989447047021103e-14	H2-Eb1
ENSMUSG00000078921	52.266814249122525	4.053273222945566	0.4967767106017833	8.159145017155753	3.3740435602715007e-16	2.3865311556180917e-13	Tgtp2
