Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSMUSG00000022587	11825.584521955798	1.4829564586228245	0.08429633989091105	17.592180876915144	2.8278198515292017e-69	4.811252695391784e-65	Ly6e
ENSMUSG00000021749	1180.6502718458416	1.235274763470113	0.07065617267852291	17.48289946428976	1.9340950504028678e-68	1.6453346593777195e-64	Oit1
ENSMUSG00000022043	535.5969519710771	-1.9001171602857316	0.11731851113104688	-16.196226341154865	5.361804128614962e-59	3.040857848141832e-55	Trim35
ENSMUSG00000020614	1171.5993935175657	1.247288981953287	0.07999872661251585	15.591360447456772	8.333964684238868e-55	3.5448518784410026e-51	Fam20a
ENSMUSG00000048992	563.7853428842301	1.8853141092071013	0.1268339221303782	14.864431199006079	5.608923928991926e-50	1.9086046345573723e-46	Prss32
ENSMUSG00000086712	289.2160042663964	1.4644442965593536	0.09993780316123697	14.653557014823093	1.2784384154782805e-48	3.6252252001579103e-45	AI427809
ENSMUSG00000023328	586.6887021039993	1.277261172512274	0.08825484635979121	14.472419648267525	1.8099140103305728e-47	4.3991252816806235e-44	Ache
ENSMUSG00000090035	6461.965270940397	0.672736315260983	0.04867443412540973	13.821143015811488	1.9002830582261233e-43	4.0414269940824075e-40	Galnt4
ENSMUSG00000030786	296.2257758964943	1.6069590315014712	0.12259677894834574	13.107677422573547	2.975724262396966e-39	5.625441400046887e-36	Itgam
ENSMUSG00000034164	346.9360417690253	-1.6715152272960208	0.12902412964334306	-12.955059118914676	2.1996656728670508e-38	3.7425111758160006e-35	Emid1
ENSMUSG00000027219	69.67111371351692	-2.9661556871359473	0.23304196688405707	-12.727989412360511	4.133465224090764e-37	6.393343392970933e-34	Slc28a2
ENSMUSG00000028236	58.102974984186034	-3.1281702970997287	0.24947519339799337	-12.539003395456993	4.5670282045361915e-36	6.475284822664897e-33	Sdr16c5
ENSMUSG00000046668	673.3131156678654	-0.9965990103369972	0.08074697252225443	-12.34224614504683	5.363832177584323e-35	7.020018513032282e-32	Cxxc5
ENSMUSG00000023249	892.0290172989354	1.2912995798905107	0.10765514328917129	11.994778330487797	3.784289048301143e-33	4.59899241912826e-30	Parp3
ENSMUSG00000033427	212.32597644409134	1.7050866649238596	0.14435593239964478	11.811684054683543	3.3968847974324797e-32	3.852973196234414e-29	Upb1
ENSMUSG00000000326	10537.994174815349	0.6090170069940631	0.05226577381271907	11.652310155711435	2.2332143561413793e-31	2.374744315961839e-28	Comt
