sample_name      `sum(nCount_RNA)` nCells `mean(nCount_RNA)` `mean(fraction_mito)`
1 Tx11_1_O21Y_N_1           19801048   6165              3212.               0.00611
2 Tx11_10_O19A_W_1          67502965   9137              7388.               0.0103
3 Tx11_2_O21Y_N_2            6377621   2340              2725.               0.00543
4 Tx11_3_O21Y_W_1            2647620   1020              2596.               0.00640
5 Tx11_4_O21Y_W_2            4114822   1526              2696.               0.00658
6 Tx11_5_O21A_N_1            8361359   2874              2909.               0.00795
7 Tx11_6_O21A_W_1            3065775   1182              2594.               0.00647
8 Tx11_7_O19Y_N_1           62031127   8876              6989.               0.0109
9 Tx11_8_O19Y_W_1           61689790   9021              6838.               0.0113
10 Tx11_9_O19A_N_1           13866539   4749              2920.               0.0394
11 Tx5_1_young_B5            31190337   2103             14831.               0.232
12 Tx5_2_aged_B6             26939401   2533             10635.               0.288
13 Tx9_1_O12Y_N                440920    128              3445.               0.00722
14 Tx9_2_O12Y_W               1270990    207              6140.               0.00986
15 Tx9_3_O12A_N               1180410    164              7198.               0.0206
16 Tx9_4_O12A_W               5244921    831              6312.               0.0118
17 Tx9_5_O13Y_N               5732168    679              8442.               0.0102
18 Tx9_6_O14A_N                 56636      9              6293.               0.0370
